,route_id,census_tract,PovertyRate,MedianFamilyIncome,TractHUNV,TractSNAP
751,14764,13121007805,34.6,44015,280,416
756,14764,13121004100,28.0,31607,181,230
758,14764,13121006000,41.5,30720,351,488
762,14764,13121006100,36.7,34570,293,488
769,14764,13121008000,29.4,43036,433,497
777,14764,13121007900,13.9,65769,121,524
789,14764,13121007806,30.5,38929,363,870
831,14782,13121006300,44.7,20875,271,255
836,14782,13121005700,47.9,21705,304,318
842,14827,13121011900,35.5,42431,549,265
883,14764,13121007802,21.3,48813,264,607
889,14764,13121007703,19.4,43686,227,286
892,14764,13121007704,28.7,42991,411,495
926,14814,13063040611,29.5,35250,392,666
927,14812,13063040611,29.5,35250,392,666
941,14814,13063040412,19.3,45434,101,637
950,14814,13063040416,24.8,45244,79,282
951,14814,13063040408,21.0,34946,231,480
961,14814,13063040407,14.7,55060,121,173
966,14814,13063040308,37.0,38346,249,395
974,14812,13063040308,37.0,38346,249,395
988,14814,13121007200,39.9,30000,148,207
990,14814,13121010800,30.1,55305,339,564
1016,14814,13063040417,41.8,24864,250,453
1020,14814,13121011202,32.1,41118,318,582
1056,14760,13063040308,37.0,38346,249,395
1060,14760,13063040407,14.7,55060,121,173
1082,14814,13063040415,44.6,29955,188,575
1101,14814,13063040619,18.3,52174,70,313
1102,14812,13063040619,18.3,52174,70,313
1103,14810,13063040619,18.3,52174,70,313
1113,14804,13121011202,32.1,41118,318,582
1114,14774,13121011202,32.1,41118,318,582
1131,14804,13121011303,21.7,50519,492,587
1132,14774,13121011303,21.7,50519,492,587
1143,14804,13121011305,41.3,30080,540,607
1144,14774,13121011305,41.3,30080,540,607
1151,14844,13121011305,41.3,30080,540,607
1160,14804,13121011306,29.8,30600,224,364
1161,14774,13121011306,29.8,30600,224,364
1168,14804,13121010511,11.3,49340,103,455
1176,14804,13121010510,24.7,40753,496,1504
1182,14804,13121010512,30.7,30750,199,678
1193,14804,13121010513,23.7,50176,299,851
1201,14804,13121010514,8.7,60514,326,650
1326,14768,13121007300,48.7,21145,902,1212
1331,14768,13121007001,36.2,27161,343,517
1335,14768,13121007400,49.3,22614,531,444
1342,14768,13121011100,12.0,56477,193,154
1349,14768,13121011000,46.9,25513,408,489
1353,14803,13121007300,48.7,21145,902,1212
1356,14768,13121007002,41.9,28276,266,361
1357,14760,13121007002,41.9,28276,266,361
1359,14760,13121007300,48.7,21145,902,1212
1387,14812,13063040417,41.8,24864,250,453
1397,14812,13063040306,45.3,23949,145,490
1407,14812,13121010800,30.1,55305,339,564
1415,14812,13121011000,46.9,25513,408,489
1439,14812,13121980000,0.0,0,0,0
1463,14844,13121011306,29.8,30600,224,364
1464,14774,13121007706,13.9,47470,566,708
1465,14844,13121007706,13.9,47470,566,708
1517,14762,13121008903,13.9,70426,59,52
1518,14762,13121008800,13.6,104846,168,165
1531,14746,13121008800,13.6,104846,168,165
1532,14762,13121008700,31.9,30130,660,534
1533,14746,13121008700,31.9,30130,660,534
1537,14762,13121008601,44.2,21964,517,636
1545,14762,13121008602,45.9,24545,27,114
1546,14762,13121008201,30.5,39325,583,810
1557,14758,13121008201,30.5,39325,583,810
1562,14762,13121008102,41.6,22292,925,1084
1563,14758,13121008102,41.6,22292,925,1084
1566,14766,13121008102,41.6,22292,925,1084
1569,14762,13121008301,27.0,32114,199,216
1570,14758,13121008301,27.0,32114,199,216
1618,14827,13121003500,43.4,115096,69,41
1642,14746,13121000700,33.0,89038,35,54
1649,14746,13121008500,39.9,31458,161,335
1650,14756,13121008500,39.9,31458,161,335
1663,14746,13121011800,71.4,17702,395,227
1665,14746,13121001002,47.4,56389,50,9
1673,14746,13121002100,44.8,41250,162,167
1678,14746,13121011900,35.5,42431,549,265
1681,14758,13121001202,8.4,139265,299,87
1682,14735,13121001202,8.4,139265,299,87
1683,14784,13121001202,8.4,139265,299,87
1684,14756,13121001202,8.4,139265,299,87
1686,14758,13121001001,16.3,172639,65,4
1687,14756,13121001001,16.3,172639,65,4
1688,14758,13121001002,47.4,56389,50,9
1689,14756,13121001002,47.4,56389,50,9
1694,14758,13121002100,44.8,41250,162,167
1698,14758,13121011800,71.4,17702,395,227
1701,14758,13121002300,27.9,24000,196,223
1711,14758,13121008400,45.0,17679,505,529
1729,14758,13121001900,31.7,67500,150,93
1739,14758,13121008302,27.1,46023,164,196
1747,14758,13121002400,27.8,35938,262,246
1754,14758,13121002500,43.5,19671,331,309
1758,14758,13121002600,45.4,16607,173,167
1772,14756,13121002100,44.8,41250,162,167
1783,14766,13121007808,68.6,8878,822,912
1788,14766,13121007807,57.8,20086,312,323
1793,14766,13121007805,34.6,44015,280,416
1806,14766,13121010303,7.5,78938,143,409
1849,14766,13121007806,30.5,38929,363,870
1924,14736,13121003100,17.9,49132,121,121
1931,14991,13121003100,17.9,49132,121,121
1944,14736,13121005200,18.8,105561,174,159
1946,14991,13121005200,18.8,105561,174,159
1976,14736,13121006900,33.9,37685,174,267
1986,14736,13121007100,36.6,25500,100,306
1990,14754,13121007100,36.6,25500,100,306
2004,14736,13121007002,41.9,28276,266,361
2020,14736,13089023802,33.0,37728,311,417
2021,14754,13089023802,33.0,37728,311,417
2029,14736,13089023801,15.3,61689,175,220
2030,14736,13089020900,13.1,68327,172,414
2045,14991,13089020900,13.1,68327,172,414
2050,14736,13089020500,13.9,50652,247,163
2051,14991,13089020500,13.9,50652,247,163
2086,14991,13089023412,21.3,53487,250,532
2087,14991,13121003000,4.3,195000,40,20
2088,14841,13121003000,4.3,195000,40,20
2093,14785,13089020900,13.1,68327,172,414
2109,14991,13089023700,33.0,32273,522,717
2115,14991,13089023803,21.6,45263,115,346
2120,14991,13089023411,21.2,52418,91,351
2122,14991,13089023410,36.0,26414,197,405
2132,14740,13089023410,36.0,26414,197,405
2138,14852,13089023410,36.0,26414,197,405
2150,14754,13121012000,58.5,19750,549,508
2151,14760,13121012000,58.5,19750,549,508
2162,14754,13121004400,34.9,21006,377,418
2169,14752,13121012000,58.5,19750,549,508
2175,14754,13121005501,39.1,31250,240,337
2184,14754,13121005502,42.9,23464,437,491
2188,14754,13121006400,29.8,31750,101,111
2192,14754,13121006801,0.0,0,0,0
2199,14754,13121006802,81.1,2500,262,337
2211,14760,13121003500,43.4,115096,69,41
2212,14744,13121003500,43.4,115096,69,41
2234,14760,13121006300,44.7,20875,271,255
2236,14760,13121005502,42.9,23464,437,491
2242,14760,13121006700,44.3,22682,505,526
2262,14760,13121007200,39.9,30000,148,207
2274,14760,13063040302,29.8,38750,290,505
2279,14760,13063040303,44.4,28873,254,688
2298,14754,13121006900,33.9,37685,174,267
2309,14754,13121005300,12.7,106538,112,119
2365,14991,13089023602,19.5,45854,109,188
2427,14810,13063040514,22.7,40599,80,555
2438,14810,13063040525,19.8,41774,3,243
2440,14810,13063040518,38.6,40675,95,426
2457,14852,13121003500,43.4,115096,69,41
2516,14752,13121006300,44.7,20875,271,255
2522,14760,13121005501,39.1,31250,240,337
2530,14760,13121004900,28.3,61625,173,216
2531,14760,13121004800,58.3,15069,217,181
2532,14795,13089021908,36.9,37722,489,588
2533,14795,13089021913,28.7,28015,342,501
2540,14795,13089021911,51.9,28085,126,257
2542,14795,13089021910,14.5,49811,76,360
2548,14795,13089022009,39.0,26481,315,744
2558,14795,13089022007,43.8,28984,292,440
2562,14795,13089022001,24.7,84045,70,75
2566,14795,13089022204,31.3,37174,303,533
2570,14795,13089022203,20.4,65143,180,89
2579,14795,13089022600,9.7,132125,279,185
2580,14793,13089022600,9.7,132125,279,185
2631,14793,13089023416,11.9,72873,219,494
2634,14776,13089023416,11.9,72873,219,494
2640,14793,13089023428,28.6,32500,572,1094
2642,14776,13089023428,28.6,32500,572,1094
2643,14793,13089022203,20.4,65143,180,89
2677,14793,13089022100,41.7,30606,219,498
2689,14793,13089022005,28.3,40893,278,473
2699,14793,13089023114,16.0,60833,74,138
2705,14793,13089023204,18.0,53765,176,427
2721,14793,13089021909,30.8,36367,380,675
2723,14793,13089023208,19.9,46977,192,502
2739,14793,13089023209,11.4,66139,62,314
2745,14793,13089023312,19.2,63450,54,620
2755,14793,13089023306,10.9,58715,23,364
2763,14793,13089023210,19.1,43053,286,601
2773,14793,13089023212,11.1,65673,108,299
2787,14793,13089023214,19.1,52847,105,430
2823,14793,13089023310,31.0,37283,638,1137
2830,14793,13089023309,19.1,49417,184,670
2835,14793,13089023314,12.7,55521,113,330
2850,14793,13089021906,18.7,43918,199,463
2859,14793,13089021908,36.9,37722,489,588
2886,14793,13089022204,31.3,37174,303,533
2905,14799,13089021806,25.1,32500,148,428
2907,14799,13089021809,8.8,110513,27,33
2921,14799,13089021814,27.7,28107,364,393
2934,14799,13089021813,41.6,28529,93,189
2936,14799,13089021303,30.5,33701,237,373
2946,14799,13089021306,19.7,37104,120,232
2949,14799,13089021301,20.2,50160,149,155
2952,14748,13089021301,20.2,50160,149,155
2956,14799,13089021307,26.4,45199,91,138
2983,14799,13089021812,17.7,71500,46,76
2997,14799,13089021805,12.2,52852,135,288
2999,14797,13089021806,25.1,32500,148,428
3000,14748,13121009402,14.6,91739,280,128
3002,14737,13121009402,14.6,91739,280,128
3007,14748,13089021204,44.3,19886,407,215
3016,14748,13089021412,4.5,140774,100,31
3021,14748,13089021413,29.2,34957,349,163
3031,14748,13089021416,28.9,37250,135,110
3032,14748,13089021417,35.3,30994,267,251
3036,14748,13089021415,16.0,102642,70,76
3040,14748,13121009404,4.5,105341,70,10
3041,14748,13121009403,21.0,49161,474,240
3060,14748,13089021414,31.6,34219,309,160
3070,14748,13089021410,29.7,39583,296,237
3074,14748,13089021308,28.6,42879,121,167
3081,14748,13089021307,26.4,45199,91,138
3088,14797,13089023113,29.1,27847,398,500
3089,14776,13089023113,29.1,27847,398,500
3091,14791,13089023113,29.1,27847,398,500
3092,14744,13089023113,29.1,27847,398,500
3095,14800,13089023113,29.1,27847,398,500
3096,14797,13089023115,100.0,0,0,0
3097,14800,13089023115,100.0,0,0,0
