,route_id,census_tract,PovertyRate,MedianFamilyIncome,TractHUNV,TractSNAP
6013,14864,13067031207,7.6,89271,0,91
6019,14864,13121009700,2.4,210417,49,0
6052,14864,13121001002,47.4,56389,50,9
6060,14864,13121009501,2.8,186328,40,0
6110,14829,13121002800,43.4,30313,348,200
6112,14829,13121011900,35.5,42431,549,265
6122,14787,13089021405,14.6,158088,47,37
6124,14787,13089021102,9.1,109904,206,105
6127,14787,13121010002,1.8,200250,154,0
6136,14787,13121010001,2.7,133937,129,26
6138,14787,13121009601,7.8,161250,40,15
6143,14787,13121009502,11.9,95313,234,44
6150,14787,13121009501,2.8,186328,40,0
6157,14787,13121009101,10.4,108667,221,229
6168,14787,13121000500,12.2,113763,280,107
6182,14787,13121009102,15.8,203894,378,99
6191,14787,13121009300,4.2,128664,30,111
6197,14787,13121009603,13.2,125515,270,109
6210,14787,13121009602,2.3,135405,211,0
