,route_id,stop_id,trip_headsign,stop_name,stop_lat,stop_lon,count_name,census_tract_detail,census_tract,CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractHUNV,TractSNAP
20,14831,908515,BLUE EASTBOUND TO INDIAN CREEK STATION,INDIAN CREEK STATION,33.769856,-84.228906,DeKalb,1.3089E+14,13089023111,13089023111,Georgia,DeKalb,1,1590,582,0,1,0.0006289,0,1,0,0,0,1,24.1,54063,0,1,0,1,0,0,0,0,0,589.6406363,0,0,289.0155666,0,589.6406363,0.370843167,289.0155666,0.181770797,2.66053238,0.004571361,31.26125532,0.053713497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,8,94
21,14831,908516,BLUE WESTBOUND TO H E HOLMES STATION,INDIAN CREEK STATION,33.769893,-84.229874,DeKalb,1.3089E+14,13089023111,13089023111,Georgia,DeKalb,1,1590,582,0,1,0.0006289,0,1,0,0,0,1,24.1,54063,0,1,0,1,0,0,0,0,0,589.6406363,0,0,289.0155666,0,589.6406363,0.370843167,289.0155666,0.181770797,2.66053238,0.004571361,31.26125532,0.053713497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,8,94
22,14831,908709,BLUE WESTBOUND TO H E HOLMES STATION,KENSINGTON STATION,33.772764,-84.252151,DeKalb,1.3089E+14,13089023113,13089023113,Georgia,DeKalb,1,3187,1383,0,0,0,1,1,1,1,1,1,29.1,27847,1,1,1,1,1,0,0,1,2105.751922,3162.593973,2105.751922,1215.772062,1788.197084,1215.772062,3162.593973,0.992342006,1788.197084,0.561091021,386.2404255,0.279277242,488.7725888,0.353414742,2105.751922,0.660731698,1215.772062,0.381478526,256.5893081,0.185530953,321.0753875,0.232158632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1836,398,500
23,14831,908691,BLUE WESTBOUND TO H E HOLMES STATION,AVONDALE STATION,33.775214,-84.282466,DeKalb,1.3089E+14,13089022600,13089022600,Georgia,DeKalb,1,5795,3077,0,24,0.0041415,0,0,0,0,0,0,9.7,132125,0,1,0,1,0,0,0,0,0,1609.794481,0,0,322.8882837,0,1609.794481,0.277790247,322.8882837,0.055718427,32.37013887,0.010520032,48.97144664,0.015915322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,279,185
24,14831,908475,BLUE WESTBOUND TO H E HOLMES STATION,DECATUR STATION,33.774699,-84.295417,DeKalb,1.3089E+14,13089022600,13089022600,Georgia,DeKalb,1,5795,3077,0,24,0.0041415,0,0,0,0,0,0,9.7,132125,0,1,0,1,0,0,0,0,0,1609.794481,0,0,322.8882837,0,1609.794481,0.277790247,322.8882837,0.055718427,32.37013887,0.010520032,48.97144664,0.015915322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,279,185
25,14831,908567,BLUE WESTBOUND TO H E HOLMES STATION,EAST LAKE STATION,33.765196,-84.313426,DeKalb,1.3089E+14,13089022403,13089022403,Georgia,DeKalb,1,4052,1598,0,0,0,0,0,0,0,0,0,6.2,187868,1,1,1,1,1,0,0,0,525.0740115,2973.052023,525.0740115,54.88872647,323.233502,54.88872647,2973.052023,0.733724586,323.233502,0.079771348,74.30831836,0.046500825,8.475628633,0.005303898,525.0740115,0.129583912,54.88872647,0.013546083,11.62964252,0.007277624,1.451067309,0.000908052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,72,10
26,14831,908476,BLUE WESTBOUND TO H E HOLMES STATION,EDGEWOOD-CANDLER PARK STATION ,33.761803,-84.340825,DeKalb,1.3089E+14,13089020400,13089020400,Georgia,DeKalb,1,2376,1222,0,0,0,0,0,0,0,0,0,5.9,123787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,51,7
27,14831,908692,BLUE WESTBOUND TO H E HOLMES STATION,INMAN PARK-REYNOLDSTOWN STATION,33.757227,-84.353066,Fulton,1.3121E+14,13121003100,13121003100,Georgia,Fulton,1,1599,750,0,0,0,0,1,0,0,0,1,17.9,49132,0,1,0,1,0,0,0,0,0,588.5018879,0,0,278.5945699,0,588.5018879,0.368043707,278.5945699,0.1742305,38.4390611,0.051252081,42.84137088,0.057121828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,121,121
28,14831,908693,BLUE WESTBOUND TO H E HOLMES STATION,KING MEMORIAL STATION,33.749853,-84.37599,Fulton,1.3121E+14,13121011900,13121011900,Georgia,Fulton,1,2934,1509,0,705,0.2402863,1,1,1,1,1,1,35.5,42431,1,1,1,1,1,0,0,1,1606.482307,2933.999986,1606.482307,962.6572324,1790.484819,962.6572324,2933.999986,0.999999995,1790.484819,0.610253858,534.2938165,0.354071449,258.3236404,0.171188628,1606.482307,0.547539982,962.6572324,0.328104033,333.3397687,0.220901106,166.2981237,0.110204191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,549,265
29,14833,908693,GREEN WESTBOUND TO BANKHEAD STATION,KING MEMORIAL STATION,33.749853,-84.37599,Fulton,1.3121E+14,13121011900,13121011900,Georgia,Fulton,1,2934,1509,0,705,0.2402863,1,1,1,1,1,1,35.5,42431,1,1,1,1,1,0,0,1,1606.482307,2933.999986,1606.482307,962.6572324,1790.484819,962.6572324,2933.999986,0.999999995,1790.484819,0.610253858,534.2938165,0.354071449,258.3236404,0.171188628,1606.482307,0.547539982,962.6572324,0.328104033,333.3397687,0.220901106,166.2981237,0.110204191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,549,265
