,route_id,trip_headsign,stop_name
348,14847,,OLD NATIONAL HWY @ GODBY RD
349,14847,,OLD NATIONAL HWY @ OLD BILL COOK RD
350,14847,,OLD NATIONAL HWY @ JOLLY RD
351,14847,,OLD NATIONAL HWY @ BISCAYNE DR
352,14847,,OLD NATIONAL HWY @ SURREY TRL
353,14847,,OLD NATIONAL HWY @ JEROME RD
354,14847,,OLD NATIONAL HWY @ 5615
355,14847,,OLD NATIONAL HWY @ PLEASANT HILL RD
356,14847,,OLD NATIONAL HWY @ BURDETT RD
357,14847,,OLD NATIONAL HWY @ 5917
358,14847,,OLD NATIONAL HWY @ LANTERN LN
359,14847,,OLD NATIONAL HWY @ WEXFORD DR
360,14847,,OLD NATIONAL HWY @ FLAT SHOALS RD
361,14847,,OLD NATIONAL HWY @ MCGHEE LANDING
362,14847,,OLD NATIONAL HWY @ HACKAMORE DR
363,14847,,OLD NATIONAL HWY @ WOODWARD RD
364,14847,,OLD NATIONAL HWY @ BIGWOOD TRL
365,14847,,OLD NATIONAL HWY @ CREEL RD
366,14847,,OLD NATIONAL HWY @ THORNTON DR
367,14847,,OLD NATIONAL HWY @ HILLSIDE RD
368,14847,,OLD NATIONAL HWY @ HALLIE MILL RD
369,14847,,OLD NATIONAL HWY @ BETHSAIDA RD
370,14847,,OLD NATIONAL HWY @ TOPAZ RD
371,14847,,OLD NATIONAL HWY @ DALTON PARK
372,14847,,OLD NATIONAL HWY @ WEST RD
373,14847,,OLD NATIONAL HWY @ JONESBORO RD
374,14847,,JONESBORO RD @ OLD JONESBORO RD
375,14847,,JONESBORO RD @ 3565
376,14847,,JONESBORO RD @ BETHSAIDA RD
377,14847,,JONESBORO RD @ 3650
378,14847,,JONESBORO RD @ MILES TER
379,14847,,JONESBORO RD @ OAKLEY INDUSTRIAL BLVD
380,14847,,JONESBORO RD @ 4295
381,14847,,JONESBORO RD @ LONDONDERRY WAY
382,14847,,XPRESS - RIVERDALE PARK & RIDE
383,14847,,VALLEY HILL RD SW @ LAMAR HUTCHESON PKWY
385,14847,,VALLEY HILL RD SW @ CAMP ST
